Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,3665600,4699400,4752600,4875900,5087200,5391600,5502800,5933900,6236642,6291425,6044393,6113024,6481841,6300264,6602653,6941099,7106264,6941775,7011230.372,7377144.074,7300522.983,7299434.412,7478837.345,7758659,8043489,8204114,8484576.159
Ecuador,28200,21100,19900,20700,19600,20800,21500,23000,24700,25600,27900,27400,27300,26500,26600,26300,27000,27600,27300,27800,27900,27900,20300,45000,43400,21800,22500,26200,26900,20200,18419,16523,15407,24801,28422,29844,31016,44842,49162,46485,60835,49193,54250.92262,58687,61248,61649,55430,50837,53033
"Egypt, Arab Rep.",14500,12800,15700,14800,17000,15100,16900,18600,18700,21300,25700,27600,28100,29700,29900,31500,29800,30900,33800,35200,19800,25700,34100,31300,38000,39000,41300,41600,39500,44300,47418,41373,41858,42152,42189,44730,47444,51440,57510,56414,104036.125,78726.09091,92303,100735.5,101725.7674,108206,115856,105464,104473
Euro area,996500,1046400,1109000,1100500,1133900,1098200,1122700,1131400,1166900,1186200,1174400,1147100,1186400,1170400,1203600,1240800,1274400,1397800,1558800,1672000,1807500,1875800,2094000,2206500,2316000,2456400,2682200,2988600,3145600,3384600,3614849,3602518,3506391,3648890,3873901,4159101,4376416,4615435,4645469,4526504,4312987.805,4429716.475,4311417.622,4127753.909,4154277.398,4289208,4468338,4479927,4557258.939
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,714,919,919
Spain,146900,159400,167300,176400,178800,181800,184500,192700,209300,214200,207900,188700,191000,194000,184900,181700,180400,183000,207200,225500,244700,262600,289700,282200,282300,313200,332800,370400,387900,414200,485856,517481,493019,518836,549963,586438,602978,657606,616893,547971,546298.8539,535074,471440.8869,465558.909,486353.8,534895,566775,579842,641020
Estonia,,,,,,,,,,,,,,,,,,,,,,,5500,5700,5700,6500,5100,7800,11400,10600,9199,9133,8324,8522,7814,8350,8183,9214,11478,8592,12207.97055,13492,26778,13356,13524,13954,16179,528,790
Ethiopia,20100,20600,21400,21600,19800,16300,18600,12300,9700,8300,8100,12000,13700,14800,16000,21600,23700,24400,22900,23600,20600,20000,25000,24200,25600,26200,24800,28100,27100,24900,26624,28128,28359,27204,29546,30961,33644,37528,39804,44154,48783,57728,62136,68131,71166,83940,94330,99263,110971
European Union,1653600,1731300,1818500,1825500,1845300,1780400,1854200,1856200,1942200,1992000,1981300,1887500,1919800,1942000,2003400,2065500,2162500,2318900,2536400,2734800,2905800,2850600,3128400,3271100,3418300,3583400,3879200,4250800,4427700,4725800,5025189,5065794,4916385,5030886,5383365,5449585,5694985,5962274,6015966,5831207,5661772.828,5853625.688,5666272.363,5501754.909,5547395.898,5727994,5999299,6068508,6252642.939
Fragile and conflict affected situations,117600,120900,123400,127400,117900,147600,160600,155800,162900,165100,184700,193800,192900,201400,229900,208200,210700,215500,232300,224600,217200,202600,189600,141500,179000,143100,147400,150600,146400,,,137211,,,,,,,,,237261.8522,263041.7065,240576.6639,284856,269225.97,268051,268480,292987.38,281256.9598
Finland,44900,48400,51500,55100,60700,64300,62600,56400,60000,61100,70800,74100,72200,68900,68800,70300,66400,77300,84000,89800,93400,92000,93600,90300,91000,97000,103200,113300,119000,120700,145174,128881,108923,107026,109209,107108,114699,118686,114371,104740,132408.2842,144467,138914.1327,138987,140256,153849,162119,118856,125804
Fiji,,,,15500,17600,17800,17600,12800,13200,15200,21200,19200,15500,15500,15700,15800,14200,13100,23700,23600,23500,23200,27200,27000,31000,32600,33600,86900,87900,57300,57776,62768,37685,38732,36920,41886,46866,46359,46467,45595,26127,18142,16011.28581,11748,19140,19487,20906,21855,24134
France,215400,211600,232500,230600,239100,246300,255700,256300,258000,262400,248400,254400,268600,241000,259900,261200,274400,314400,368200,393200,441700,408000,413700,459800,479000,482000,549900,667500,691800,748600,811776,777756,734679,695865,682263,728081,805731,825471,827851,771675,738003.4264,754292,739353.5998,641440,610197,607168,599427,599256,597412
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,11200,11200,11000,11300,11200,11300,12700,12100,11600,11800,12000,12200,12600,13100,12600,12300,12300,12500,11000,10700,10400,11300,10800,10900,12000,12000,7100,10000,10100,7300,7445,7492,7474,7990,8342,8505,8524,9057,5654,5423,7516.159851,3002,1553,0,,2765,2305,,
United Kingdom,441800,432200,435200,446300,429400,397100,409300,413300,462600,476900,477500,434000,433200,435600,457900,471700,498900,522900,573300,639100,670700,615500,654600,659400,684900,724800,772300,788900,801900,840800,876158,925638,924944,891154,970036,1018118,1037032,1044883,1056206,1003893,985109.0231,1062692,1050702.909,1052640,1064175.7,1104117,1180312,1182696,1242985
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,1300,1400,2500,1600,1600,3000,1906,1945,4239,5514,4451,4673,4861,5347,5487,5054,2803,3896,3326,2933,3317,3959,3199,5061,7108
Ghana,5000,5400,5700,5600,5700,5900,6100,6000,7000,7000,5600,5100,5300,4500,4400,5800,5500,7500,12300,11800,12600,19000,15100,3200,3400,3000,3300,3500,3500,5000,4873,5892,4382,3333,3333,,,,,,5645.669567,10683,14902,16560,16764,20539,21628,21224,14373
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,2000,2000,2100,2200,2200,2300,2300,2300,2300,2300,2300,3500,3500,3500,3600,3600,500,900,900,900,1100,1100,700,700,1400,700,700,700,700,600,,,,,,,,,,,,,,,,,,,
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,140,1788,1848,35,440,625,625
Guinea-Bissau,,,,,,,,,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,300,300,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1400,400,400,400,400,400,400,400,400,600,600,,,,,,,,,,,,717.1709234,2808,8201,19416,14136,22350,22464,20590,19549.22085
Greece,34100,39800,44500,48500,38000,42600,50600,49400,55600,57300,50300,49700,53900,58800,71600,77000,75800,78600,79200,80100,79600,69800,79200,86200,86600,89200,92400,94200,90700,94100,108584,125269,113247,114100,137676,130515,133226,137697,128287,112671,136382.2579,125477.1198,111870,103800,134160,124014,128454,135281,144040
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,10500,8200,8300,1800,3200,3700,4500,5000,4400,4300,3200,3100,3100,2000,2000,2200,1800,2100,2100,2300,3400,3400,4500,4600,4600,5100,5100,6400,6500,,,,,,,,,,,,8875,9148,8091,2556,2214,3012,3102,3577,3205
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12139,11470,,,,,,,,,
Guyana,4000,4200,4200,4300,4400,4500,5000,5200,5200,5200,5200,6400,7100,7000,6700,6700,4500,4500,4300,3800,3800,3300,3300,3300,3300,3500,3600,3600,3600,500,418,276,,,,,,,,,9351,12231,8625,0,0,,,,1931
High income,8010400,8153500,8136200,8259700,7688900,7555400,7766600,8130700,8347600,8665400,8630500,8180000,8143000,8409600,8911300,9410400,10148800,10621700,11193200,11317500,11824100,11619000,12015900,12118300,13245800,13990800,14814900,15273300,15411800,16361800,17661081,17456860,16146925,16693022,18503214,18650227,18764554,19336889,18716281,18944692,20646571.98,20860971.58,20546160.96,20530884.97,20546749.11,20923263,21532428,21734648.92,22212870
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,124500,147100,167200,181500,193700,195200,224800,234700,72400,79182,85003,91096,87070,111136,122705,130014,141372,144039,149809,158255,173112,185506.3782,199639,215562,228582,235581,243518,245146
